id mpg   cyl hp  wt
1  21.0   6 110 2.620
2  21.0   6 110 2.875
3  22.8   4  93 2.320
4  21.4   6 110 3.215
5  18.7   8 175 3.440
6  18.1   6 105 3.460
7  14.3   8 245 3.570
8  24.4   4  62 3.190
9  22.8   4  95 3.150 
10 19.2   6 123 3.440
11 17.8   6 123 3.440
12 16.4   8 180 4.070
13 17.3   8 180 3.730
14 15.2   8 180 3.780
15 10.4   8 205 5.250
16 10.4   8 215 5.424
17 14.7   8 230 5.345
18 32.4   4  66 2.200
19 30.4   4  52 1.615
20 33.9   4  65 1.835
21 21.5   4  97 2.465
22 15.5   8 150 3.520
23 15.2   8 150 3.435
24 13.3   8 245 3.840
25 19.2   8 175 3.845
26 27.3   4  66 1.935
27 26.0   4  91 2.140
28 30.4   4 113 1.513
29 15.8   8 264 3.170
30 19.7   6 175 2.770
31 15.0   8 335 3.570
32 21.4   4 109 2.780
