Year,Domestic Consumption (Millions of Gallons),Domestic Cost (Millions of $),Domestic Cost per Gallon ($),International Consumption (Millions of Gallons),International Cost (Millions of $),International Cost per Gallon ($),Total Consumption (Millions of Gallons),Total Cost (Millions of $),Total Cost per Gallon ($)
2017-07-31,1037.4,1610.9,1.55,573.6,883.8,1.54,1611.0,2494.7,1.55
2017-06-30,1008.7,1546.7,1.53,544.9,843.1,1.55,1553.6,2389.8,1.54
2017-05-31,963.9,1544.5,1.6,523.2,839.9,1.61,1487.1,2384.5,1.6
2017-04-30,919.2,1525.3,1.66,488.7,798.2,1.63,1408.0,2323.5,1.65
2017-03-31,965.0,1590.9,1.65,481.0,792.7,1.65,1446.1,2383.6,1.65
2017-02-28,804.0,1369.6,1.7,404.0,683.5,1.69,1208.0,2053.1,1.7
2017-01-31,882.4,1451.9,1.65,460.9,753.1,1.63,1343.3,2205.1,1.64
2016-12-31,959.6,1543.1,1.61,473.7,736.0,1.55,1433.2,2279.1,1.59
2016-11-30,886.0,1286.4,1.45,432.3,607.0,1.4,1318.3,1893.3,1.44
2016-10-31,919.7,1459.8,1.59,482.5,739.2,1.53,1402.2,2199.0,1.57
2016-09-30,897.3,1327.9,1.48,491.1,695.2,1.42,1388.3,2023.1,1.46
2016-08-31,1006.7,1450.8,1.44,546.3,789.0,1.44,1553.0,2239.8,1.44
2016-07-31,1027.6,1540.6,1.5,559.4,824.7,1.47,1587.0,2365.3,1.49
2016-06-30,992.2,1778.7,1.79,530.0,1000.8,1.89,1522.3,2779.4,1.83
2016-05-31,950.5,1359.4,1.43,510.8,708.1,1.39,1461.3,2067.5,1.41
2016-04-30,903.4,1201.3,1.33,483.3,639.0,1.32,1386.7,1840.3,1.33
2016-03-31,943.9,1207.9,1.28,483.2,586.3,1.21,1427.1,1794.2,1.26
2016-02-29,824.7,1020.9,1.24,419.3,478.9,1.14,1244.0,1499.8,1.21
2016-01-31,855.7,1103.1,1.29,465.4,570.0,1.22,1321.1,1673.1,1.27
2015-12-31,946.1,1366.0,1.44,483.2,727.1,1.5,1429.4,2093.1,1.46
2015-11-30,871.9,1367.5,1.57,446.7,704.4,1.58,1318.6,2071.9,1.57
2015-10-31,901.6,1472.6,1.63,491.8,820.2,1.67,1393.4,2292.8,1.65
2015-09-30,857.1,1365.8,1.59,502.3,783.9,1.56,1359.4,2149.6,1.58
2015-08-31,957.2,1605.2,1.68,557.0,936.5,1.68,1514.2,2541.7,1.68
2015-07-31,986.7,1803.6,1.83,568.5,1047.8,1.84,1555.1,2851.4,1.83
2015-06-30,939.0,1915.3,2.04,538.8,1115.7,2.07,1477.8,3031.0,2.05
2015-05-31,909.8,1901.9,2.09,522.7,1077.1,2.06,1432.5,2979.0,2.08
2015-04-30,884.1,1699.7,1.92,490.4,968.6,1.98,1374.4,2668.3,1.94
2015-03-31,906.1,1818.2,2.01,493.0,1021.1,2.07,1399.1,2839.3,2.03
2015-02-28,755.0,1683.1,2.23,419.8,1031.2,2.46,1174.8,2714.4,2.31
2015-01-31,826.8,1600.8,1.94,474.1,964.6,2.03,1300.9,2565.3,1.97
2014-12-31,898.9,2080.9,2.32,474.8,1104.4,2.33,1373.6,3185.3,2.32
2014-11-30,830.0,2138.3,2.58,445.1,1135.6,2.55,1275.1,3273.9,2.57
2014-10-31,872.5,2349.1,2.69,483.9,1291.6,2.67,1356.4,3640.7,2.68
2014-09-30,822.5,2376.8,2.89,489.6,1376.8,2.81,1312.2,3753.6,2.86
2014-08-31,900.4,2685.0,2.98,559.0,1587.9,2.84,1459.3,4272.9,2.93
